FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
K8V,36,3,6.5,70,79,43.5,54.5,37,41.5,44.0992,-77.5776
K9A,40,3.5,6,1,48.5,28.5,25.5,27,58,43.9598,-78.1651
K9H,63,1,7,0,8,0,33,2,55,44.3245,-78.3184
K9J,56.5,3.2,7,49.5,31,21,29.5,11.5,7.8,44.3104,-78.2396
K9V,28,3,9,85,81,87,82,76,87,44.3501,-78.7329
L0C,61,2,9,76,36,75,73,13,12,44.2094,-79.0725
L0E,38,3,9,87,59,45,20,36,64,44.3199,-79.2778
L0G,49.3,2.7,7,33.3,46,26.7,27,11,5.3,44.0586,-79.6235
L0K,59,2.2,8.2,34.5,23.5,52.2,24.5,8.5,4,44.6233,-79.1235
L0L,32,4,10,98,76,81,72,44,56,44.4548,-79.7352
L0R,52.6,2.6,7,61.6,41.4,61.4,51.2,27.8,30,43.1607,-79.7463
L0S,57,5,10,29.5,37.5,20,12.5,0,0,42.9071,-79.0832
L1A,22,4,9,0,3,51,0,2,1,44.0168,-78.3995
L1C,58,4,9,1,34,1,7,31,93,43.9714,-78.7095
L1E,28,6,10,4,56,18,10,1,75,43.8969,-78.7683
L1G,59,3,6.8,24.5,45.2,38.8,55.5,20,34,43.9233,-78.8684
L1H,66,2,6,40,70,50,0,0,10,43.9721,-78.8837
L1J,46.2,2.4,5.2,53,43.4,71.4,59.4,21.4,32.8,43.8852,-78.8771
L1N,62,6,7,68,1,35,20,3,1,43.8721,-78.9273
L1P,52.5,3.5,5.5,20.5,61,55,50,23.5,40.5,43.8866,-78.975
L1R,46.5,4,8,40,40,58.5,34.5,21.5,25.5,43.9215,-78.9412
L1S,35,4.7,9.3,52.3,67.7,54.7,51.7,33.7,38,43.8404,-79.0251
L1T,36,4.7,7,18.3,34.7,37.3,44,4.7,25,43.8843,-79.0534
L1V,58,4.7,7.3,24.7,55.7,52.3,34.3,10,3,43.8605,-79.1618
L1W,52,2,6,70.5,61,35,35,29.5,30,43.8197,-79.0803
L1Z,52,5,7,32,36.5,29,17,10,7.5,43.8773,-79.0055
L2A,45.5,1.5,8,53,38,71.5,51.5,33,31.5,42.9001,-78.9329
L2E,33,2,7,19,0,100,89,19,0,43.0537,-79.1018
L2G,59,2,9,95,0,5,19,1,14,43.0696,-79.0818
L2H,61,1,5,0,2,46,12,6,9,43.1009,-79.1379
L2J,68,1,2,89,29,11,69,20,20,43.1296,-79.1034
L2M,54.4,2.6,7,43.6,30.6,42,62,20.4,29,43.196,-79.2161
L2P,49.5,2.5,6,2.5,83,38.5,9,13,34.5,43.1527,-79.2091
L2R,41.7,1.3,5.3,38.3,31.3,43.7,28.3,10.7,48,43.1419,-79.2966
L2S,40,5,7,3,2,5,5,2,6,43.1447,-79.2634
L2T,35.5,3.5,8,41.5,4.5,41.5,11.5,21,5.5,43.1313,-79.2317
L2V,66,3,7,55,27,68,53,0,1,43.1142,-79.2035
L3B,28.7,3,6.7,22,37.3,55,26,15.3,47,42.9878,-79.2219
L3C,55,3.3,7.5,40.7,47.2,52.7,37.7,19.8,14,42.9998,-79.2656
L3P,44.5,4.5,7.5,91,63,69.5,69,39.5,41,43.8769,-79.2686
L3R,46,3.5,7.5,53,47.2,55.2,50,48,52,43.8479,-79.3288
L3S,29,5,9,33.5,51.5,43.5,22,9,15,43.8486,-79.2617
L3T,57,3.3,8.5,52.7,59.7,38.7,38.7,22.3,30,43.8227,-79.3946
L3V,47,2,8,89,0,75,45,8,4,44.6087,-79.4207
L3X,39.2,4.4,6.6,49.4,44.8,43.6,36.8,38,31.4,44.0433,-79.4912
L3Y,34.3,3.7,6.7,51.7,46,70,43.3,35,44.3,44.0565,-79.4555
L3Z,37,4.5,8.2,11,63.8,22.8,24,21.5,19,44.1168,-79.5663
L4A,42,3.5,8.5,42.5,83,44.5,76.5,59.5,62,43.9668,-79.2496
L4C,54.5,4.1,8.2,28.9,38.8,35.1,39.5,16,18.5,43.8669,-79.4414
L4E,51.5,4.5,9,30,57.5,15.5,1.5,1.5,25,43.9394,-79.4349
L4G,49,4,7,30.7,48.7,29.3,39.3,16.3,16.3,44.0001,-79.4663
L4H,41,3.5,6.5,33,88.5,52,58.5,45,51.5,43.8432,-79.5644
L4J,53.5,3.2,8.8,44.2,45.8,39.2,36.5,4,8.5,43.8156,-79.4534
L4K,45,5,9,67.5,44.5,57,44,24.5,21,43.8001,-79.4829
L4L,67,4,9,75,50,52,22,20,32,43.8064,-79.5995
L4M,52.7,2.7,5.7,39.7,48.7,60,62.3,15.7,19.7,44.4001,-79.6663
L4N,53.3,2.5,5.8,35,20,48.3,57.7,3.5,17.3,44.3572,-79.6929
L4R,33,4,9,75,63,76,92,93,90,44.7501,-79.883
L4S,37.5,4.5,6,44.5,31,29,25,18,26,43.8985,-79.4143
L4T,45.3,3.3,6.3,27,67.3,38,41.7,20.7,22,43.7139,-79.6434
L4Z,41,3,9,44,37,32,57,34,47,43.6192,-79.6538
L5A,50.8,5.2,8.8,39,53.8,46.5,38.5,26,30.2,43.5883,-79.6091
L5B,41.3,3.7,5.3,54,28.7,55,42.3,13,13.7,43.5771,-79.6306
L5C,58.3,2.3,8.3,45,33.3,25.7,48,12.7,8.3,43.5624,-79.6504
L5E,57.7,4,7.7,82.3,17.7,58,61.7,19.7,16.3,43.5836,-79.561
L5H,67,7,9,61,61,41,35,8,24,43.5419,-79.6164
L5J,55.5,3.5,7.8,16.8,43,23.8,22.2,4,17.8,43.5102,-79.6296
L5L,64,4,9,59.5,4.5,40,34,11.5,21,43.5373,-79.6903
L5M,51.9,4,6.9,37.3,49.4,49,28.4,18.7,21.3,43.5637,-79.7202
L5N,56,3.4,6.6,32.8,76.8,35.6,33,30.6,45.6,43.5924,-79.7611
L5R,22.3,4.7,7.7,24.7,83,16,12.7,8.7,23.7,43.606,-79.6708
L5V,46.5,4,7,25,75,17.5,7.5,7.5,7.5,43.5972,-79.6931
L5W,54,2,9,17,23,64,32,2,100,43.6313,-79.7148
L6A,34,5.2,7.8,31.5,48.5,53,43.8,17.8,30.5,43.8501,-79.5163
L6B,37,4,9.5,78,1,93.5,62.5,1,0.5,43.9007,-79.2175
L6C,42.5,5,9.2,36,49.2,26,13.5,14.5,8.8,43.9045,-79.3392
L6G,45,5,9,18,19,48,48,48,1,43.8485,-79.3346
L6H,53.2,4.2,7.5,17.2,62.2,20.8,36,19.8,9.8,43.4881,-79.7098
L6K,23,3,8,70,47,57,69,24,1,43.4396,-79.6878
L6L,64.5,3.2,7,54.2,22.5,45.2,18.8,12.2,21.5,43.4032,-79.7186
L6M,38.5,2,10.5,76.5,27.5,57,42.5,28,45,43.4464,-79.7593
L6P,31.5,6,9,74.5,32.5,77.5,68,64,26.5,43.7942,-79.7021
L6R,38,3,9,1,98,54,1,0,1,43.7592,-79.7605
L6S,31,1,5,13,2,6,3,6,14,43.7379,-79.726
L6T,48.7,4.3,6.3,72.7,27.7,52,54.3,15.7,10.7,43.7196,-79.6854
L6V,38.8,3.5,7.5,49.8,31,92.8,55.2,15.2,15.5,43.7059,-79.7626
L6X,48.3,3,8.7,55.3,63.7,48.7,52,24.3,36.7,43.6665,-79.8054
L6Y,34,2.5,7.5,25.5,66.5,42,14,28.5,35,43.6249,-79.7876
L6Z,50,4,7.8,56.4,42.2,23.8,30,20,28.2,43.7328,-79.7953
L7C,47.5,3,7.5,66,70,71.5,73,52.5,78,43.8753,-79.8558
L7E,46.7,4,7.7,14.7,62.3,27,29.3,22.3,23.7,43.8795,-79.7379
L7J,30,7,6,1,100,9,0,1,7,43.6297,-80.0415
L7L,40.2,3,6.5,70.8,23.2,65,51.2,31.5,29,43.3799,-79.7668
L7M,42.3,4.7,9,50.7,73.3,17,19.7,9.3,16.3,43.4342,-79.8701
L7N,36,5,8,29,70,19,55,22,16,43.3512,-79.784
L8E,29.3,2.3,4.7,47,49,59.7,85.3,52.7,53.7,43.2245,-79.6988
L8G,53,5,9,65,71,26,10,4,39,43.2164,-79.7423
L8H,53,4,7,35.3,16.7,73.3,39.7,23.3,36,43.2596,-79.7925
L8J,46,4,7.5,49.5,33.5,50,30,8,20.5,43.1836,-79.721
L8L,46.3,2.7,6,19.3,36.7,59,44.3,16.7,8.7,43.2783,-79.8344
L8M,56,1,9,70,57,14,24,15,13,43.2441,-79.8359
L8P,63,2,9,73,11,67,72,17,0,43.2514,-79.8925
L8R,37,2,10,48,5,85,64,22,0,43.2726,-79.8792
L8S,43.7,1.3,7,38.3,38.7,57.7,57.7,34.3,56,43.2606,-79.9161
L8T,24,1,8,0,0,0,0,0,0,43.2199,-79.8286
L8V,56.5,2.5,5.5,28,14.5,65.5,3,0.5,2,43.2266,-79.8499
L9A,40,4,10,72,11,87,90,50,0,43.2271,-79.871
L9C,65.3,3.3,7,78.3,5.7,52.7,24.7,14.3,13.7,43.2313,-79.9049
L9E,63,5,6,100,53,46,49,38,45,43.5168,-79.8829
L9H,50.7,4.7,8,39,46,33,13,7.3,22.7,43.2638,-79.9524
L9L,45,2,9,5,80,46,52,0,51,44.1068,-78.9444
L9M,73,2.5,10,90.5,3,65.5,47.5,5.5,1,44.7834,-79.9164
L9P,43,3,6,24,71,33,35.5,16,33,44.1001,-79.1163
L9R,55,2.5,6,25.5,23.5,48,23,5.5,8.5,44.1501,-79.8663
L9S,28.5,2.5,7.5,46.5,41,68,50.5,49,40,44.3001,-79.6496
L9T,34,3.5,6,12,57.5,50,27.5,36.5,36,43.5148,-79.884
L9V,42,3,7,30,50,60,60,0,40,43.9597,-80.1079
L9W,46.3,3.7,7.7,17.3,67.3,32.7,48.7,41.3,58.3,43.9702,-80.016
L9Z,69,1,7,12,89,50,52,31,45,44.5168,-80.0164
M1B,29.8,4.6,7,59.8,35.6,43.4,44,19.8,37.8,43.8113,-79.193
M1C,23,3,8,15,50,7,45,25,30,43.7878,-79.1564
M1E,37.2,2,6.6,43,30.4,36.2,24.4,26,22.2,43.7678,-79.1866
M1G,35,4,9,67,100,20,37,55,35,43.7712,-79.2144
M1J,29.7,4,7.3,63.3,75.3,63.3,57.3,51.3,55,43.7464,-79.2323
M1K,54.4,1.6,6.8,33.4,36,25,30,22.4,26.2,43.7298,-79.2639
M1L,29,5,9,60,100,56,66,78,85,43.7122,-79.2843
M1M,60,3.3,8.3,44.7,53,47.3,33,18.3,19.3,43.7247,-79.2312
M1N,39.6,3,7,33.8,32.8,51.2,52.2,16.6,39,43.6952,-79.2646
M1P,40.2,2.6,8.4,38.8,41.4,36.8,32.2,30.2,31.2,43.7612,-79.2707
M1R,39.7,3.7,7.8,34.3,74.5,31.8,37,37.2,39.8,43.7507,-79.3003
M1S,43,3.3,7.8,43.7,29.2,47.5,27.2,30.7,19.3,43.7946,-79.2644
M1T,51,3.7,8.3,62.7,75.7,45.7,45,45.7,52.7,43.7812,-79.3036
M1V,33.7,4,7.3,38,32,17,12.7,17,17.3,43.8177,-79.2819
M1W,40,5,10,28.5,82,32,24.5,18,24,43.8016,-79.3216
M2H,44.3,3.7,8,46.3,58.3,29.3,28,42.3,26.3,43.8015,-79.3577
M2J,45,3.4,8,47,54.6,49.6,41,19.8,25,43.7801,-79.3479
M2K,59.7,4.7,9,49.7,34,32,40.7,32.3,32.3,43.7797,-79.3813
M2L,51,3.5,8,28,3,69,11,2.5,0,43.7547,-79.3764
M2M,53,6,7,21,79,0,1,0,0,43.7915,-79.4103
M2N,57.7,3.3,8.3,48.5,32.2,35,35.2,24.3,30,43.7673,-79.4111
M2R,66.5,3,6,51.5,39,62,26.5,2.5,4,43.7786,-79.445
M3A,49.2,5.2,8.2,58,36,23.8,26.8,15.2,5.8,43.7545,-79.33
M3B,30.5,3,9.5,90.5,81.5,76,63,68.5,71.5,43.745,-79.359
M3C,42.2,3.6,7.2,49.6,54.8,53.4,53.4,38.4,47.4,43.7334,-79.3329
M3H,45,5.5,9,54.8,47.5,38.5,42.5,41.5,21,43.7535,-79.4472
M3J,34.5,2.5,5.5,42.5,71.5,55.5,43,31.5,63.5,43.7694,-79.4921
M3L,57,1,9,12,0,60,45,0,0,43.7334,-79.5116
M4A,56,2,8,53.5,33.5,28.5,25,10,42,43.7276,-79.3148
M4B,37,3.5,9,91.2,50,62.8,90,74.2,76.2,43.7063,-79.3094
M4C,52,5,6,0,84,0,0,1,74,43.6913,-79.3116
M4G,40.5,3.5,9,21,46.5,27,32,2.5,42,43.7124,-79.3644
M4K,48.8,2,6.2,26,31.5,39.8,26,19.5,24.5,43.6803,-79.3538
M4L,51,6,6.5,51.5,28.5,40.5,36,15,14.5,43.6693,-79.3155
M4M,35,4.7,7.7,47.3,49,55.7,20,2.3,19,43.6561,-79.3406
M4N,61,2,9,80,50,75,44,24,1,43.7301,-79.3935
M4P,44.8,3,7.8,58.8,33.8,66,65.5,26.2,38.5,43.7135,-79.3887
M4R,66,6,9,98,0,81,78,1,1,43.7143,-79.4065
M4S,36,1.5,7,53.5,9.5,63,66.5,15.5,24,43.702,-79.3853
M4V,32.8,3.5,8,38.8,1,59.5,58.8,13.5,1.2,43.6861,-79.4025
M4W,32,5,10,73,48,59,57,68,70,43.6827,-79.373
M4X,69,3,9,32,69,73,23,40,13,43.6684,-79.3689
M4Y,41.5,2.5,7,69,57,65.5,75,50,86.5,43.6656,-79.383
M5A,56.7,4,8.3,45,42.7,33.3,17,1,31,43.6555,-79.3626
M5B,39,2.5,8,15,5,63,0,0,5,43.6572,-79.3783
M5E,63,6,11,60,3,44,49,11,2,43.6456,-79.3754
M5H,33,5,9,37,100,2,49,8,11,43.6496,-79.3833
M5J,52.7,4,8,25,90.7,13.3,11.3,15,9.3,43.623,-79.3936
M5N,48,5,10,41,53,40,55,68,51,43.7113,-79.4195
M5R,50.5,3,9.5,58.5,0,77.5,46.5,4.5,1,43.6736,-79.4035
M5S,58,1,9,90,3,71,81,29,22,43.6629,-79.3987
M5T,39.3,3.7,8.7,61,14.7,77,49.3,19,14.7,43.6541,-79.3978
M5V,42,6,10,56,2,39.5,46,1.5,0.5,43.6404,-79.3995
M6A,45.5,2.5,6.5,63.5,45,39,38.5,12,62.5,43.7223,-79.4504
M6B,25.5,4.5,8.5,70.5,49.5,42.5,16,0.5,5,43.7081,-79.4479
M6C,44,6,9,3,85,5,5,0,2,43.6915,-79.4307
M6E,22,3,8,15,60,18,8,12,30,43.6889,-79.4507
M6G,45,2,10,40,0,75,25,0,0,43.6683,-79.4205
M6H,40,4.2,7,52.4,30.2,49.4,39.2,15.4,14,43.6655,-79.4378
M6J,35.8,4.6,9,59.6,73.8,38,46.4,41,45,43.648,-79.4177
M6K,47,2.5,7.2,64.5,42.5,74.8,61.5,49.5,37,43.6383,-79.4301
M6L,32,1,7,62,11,87,58,12,36,43.7137,-79.4869
M6M,32.8,3.6,7.6,50,49.6,48.8,42,28,32.6,43.6934,-79.4857
M6N,45.7,2.7,6.3,66.3,23.3,51.3,21,4.7,24,43.6748,-79.4839
M6P,30.2,4.5,7.5,32.8,25.2,60.2,48.2,19.5,15.5,43.6605,-79.4633
M6R,70,3,11,91,2,73,48,11,0,43.6469,-79.4521
M6S,40,5,9,11,2,2,5,4,56,43.6512,-79.4828
M8V,49.6,3.9,7.4,56.5,47.2,45.6,36.8,14.8,45.1,43.6075,-79.5013
M8W,58.5,4.5,7.5,71.5,39,47.8,49,22.2,14.8,43.6021,-79.5402
M8X,70,3,11,77,10,77,65,10,2,43.6518,-79.5076
M8Y,50.7,3,8,69.7,22.7,61.7,49,10,27.3,43.6325,-79.4939
M9A,51.2,3.2,8.5,56,23.8,59.2,48.8,10.5,28.8,43.6662,-79.5282
M9B,39.3,5,7.7,14,49.3,14.7,17,14.3,20.3,43.6505,-79.5517
M9C,40.3,4.3,8,80.3,6.7,59.3,34,12.7,15.7,43.6437,-79.5767
M9M,50,4,9,71,65,42,14,33,9,43.7366,-79.5401
M9N,23,3,5,78,44,63,77,53,65,43.7068,-79.517
M9P,26,7,10,28,7,4,16,6,1,43.6949,-79.5323
M9R,69,1,6,60,5,47,57,2,3,43.6898,-79.5582
M9V,41.6,3.2,8.4,71.4,31.6,58.2,65,36,29.2,43.7432,-79.5876
N0B,39.5,2.5,5.5,26,26.5,25.5,50,1,5.5,43.5569,-80.4414
N0C,49,3.3,7.7,3.7,86.3,6.7,5,6,27,44.256100000000004,-80.5029
N0G,43.5,4,6.7,27.8,51.5,39.8,37.5,15.2,29,44.0024,-81.0676
N0H,53,6,7,54,1,32,5,1,0,44.6941,-81.0962
N0J,48,1,7,3,43,1,23,15,34,42.9775,-80.7057
N0L,50.3,3.7,7.3,25.3,40.3,67,49.7,40.3,27.3,42.7557,-81.4533
N0M,64,3,7,5,77,41,28,6,13,43.2788,-81.5442
N0N,63,3,8,60,60,40,30,10,10,42.9062,-82.11
N0P,57,2,5,37,41,34,37,39,39,42.4045,-81.9107
N0R,57,3.5,9,56,36,37,43,16,40,42.1783,-82.7715
N1E,39.2,4.2,6,5.2,28.5,36.8,37.8,11.2,25,43.5677,-80.2418
N1H,50,2.8,8.2,65.2,4.5,62.8,77,23.5,27,43.5588,-80.3004
N1L,47,3.3,7,51,21.7,35.3,29.3,20,17,43.516,-80.19
N1P,39.7,3.3,6.3,18.7,75.7,53,53.3,40,28.3,43.3398,-80.2955
N1R,48.7,3,6.7,21.7,43,30,34,0,0,43.3666,-80.2239
N2A,70,5,9,8,63,69,55,65,81,43.4413,-80.4246
N2B,70,3,6,2,2,99,75,0,0,43.4646,-80.4467
N2C,37,3.5,7,3,28.5,49,44.5,28,18.5,43.4182,-80.4451
N2E,56,5,10,92,57,23,81,32,39,43.4106,-80.5011
N2G,55.7,5,10,70.7,11.7,80.3,70,24.3,2.7,43.4443,-80.4891
N2H,43,2.5,6,73,46,67.5,56,22.5,29.5,43.4581,-80.4818
N2K,67,5,9,0,61,5,21,0,55,43.4961,-80.4936
N2L,43.2,4.2,6.5,50.8,16,41.8,28.8,11,19.3,43.4715,-80.5454
N2M,51.5,2,6,47.5,41,28.8,32.2,9.5,28.8,43.4363,-80.5093
N2N,21,6,5,1,75,45,30,0,90,43.426,-80.5438
N2P,31,2,7,61,43,84,76,53,3,43.3878,-80.4296
N2T,50,4,9,53,53,20,10,19,4,43.453,-80.5692
N2V,66,7,11,65,2,45,25,1,1,43.4764,-80.5842
N2Z,45,4,7,64,59,80,16,33,29,44.1664,-81.601
N3A,60,2,5,44,7,95,97,56,14,43.4001,-80.6497
N3C,31,2,7,24,0,46,27,1,0,43.4389,-80.2649
N3P,70.5,2.5,7.5,35,37.5,12.5,20,0,50,43.1818,-80.2367
N3S,34,4,4,30,32,16,12,36,28,43.1394,-80.2357
N3T,54,4.5,6,39.5,71.5,46,31.5,13,14,43.131,-80.3254
N3W,66,3,10,84,7,74,52,13,0,43.0668,-79.9329
N4G,67,3,6,72,66,51,35,1,30,42.8599,-80.7262
N4K,38.7,2,5.7,27.7,57.3,22.7,19,21.3,58,44.5672,-80.9435
N4N,27,2,8,0,0,80,20,0,0,44.1501,-81.033
N4S,21,6,8,24,84,68,6,8,4,43.1432,-80.7338
N4T,55.5,3,7,26,66.5,28.5,19,15.5,16.5,43.1485,-80.7319
N4W,50,3.5,6,27,73.5,8.5,11,6.5,46.5,43.7334,-80.949700000000007
N4X,59,2,7,87,7.5,39.5,16,2,24.5,43.2655,-81.1687
N5A,37,7,7,80,5,74,74,17,0,43.3668,-80.949700000000007
N5C,60,2,9,0,98,0,51,0,100,43.0334,-80.883
N5H,43,3,6,56,49,42,38,46,41,42.7668,-80.983
N5P,41.5,1.5,5.5,51.5,29,54.5,11,2.5,1.5,42.7779,-81.1769
N5R,23,4.5,6.5,33.5,12,45,67,11.5,25,42.7597,-81.1762
N5V,50,2,8,2.5,70,36.5,10.5,31.5,48.5,43.0233,-81.1643
N5W,50,2.8,6.5,42.2,33,62.5,21.2,8.2,10.5,42.9856,-81.1821
N5X,44.3,3.6,6.9,35,46.7,43.6,22.9,11.1,16.3,43.0443,-81.2391
N5Y,26,2.5,5,6.5,44,45,72.5,2,25,43.0123,-81.2307
N5Z,47,2,9,100,96,94,91,93,94,42.966,-81.2053
N6A,63,2,7,80,2,40,60,40,0,42.9976,-81.2563
N6B,65,2,7,80,31,13,17,18,6,42.9835,-81.2386
N6C,74,2.5,9,77,16,50,33.5,8,15,42.9582,-81.238
N6E,55,3,5,23,58,72,12,2,6,42.9185,-81.2244
N6G,56.3,2.7,5,54,47.7,42.3,38.3,24.3,19.3,43.0147,-81.3049
N6H,23,1,5,79,24,61,23,51,52,42.9915,-81.3402
N6J,33.5,1,6,22.5,25.5,53.5,32,34.5,40,42.9546,-81.2735
N6K,64,4,10,23,24,31,20,6,27,42.9536,-81.3418
N6M,65,2,10,50,4,60,60,1,2,42.9632,-81.1392
N7G,59,4,8,90,0,9,1,0,0,42.9551,-81.6223
N7L,35.5,2,9,42.5,32,51.5,36.5,22.5,19.5,42.4209,-82.1993
N7S,48.5,1.5,6,48,79,74,51.5,20.5,50.5,42.9888,-82.3592
N7T,43.5,2,7,83,5,41.5,37.5,1.5,5,42.9578,-82.2777
N8M,70,1,5,68,1,0,0,1,0,42.1751,-82.8248
N8N,78,3,10,0,0,0,0,0,0,42.2946,-82.8667
N8S,40,3,7,0,20,38.5,37.5,12.5,45,42.3283,-82.9472
N9A,40,3,9,80,16,86,49,26,12,42.2007,-83.0276
N9B,49,4,6,1,37,51,7,1,47,42.2949,-83.052
N9G,56.2,3.8,6,73.5,52.8,64.8,56.5,38.8,54,42.2481,-82.9952
N9H,49,2,7,3,100,0,2,1,1,42.2318,-83.0281
N9J,21,4,8,50,50,50,50,50,50,42.2187,-83.0801
N9V,51,2,5.5,75,60,66,15.5,14.5,19,42.1168,-83.0498
N9Y,57.7,4.3,8,83.3,40,46,25.7,10.7,13.7,42.0502,-82.7598
P0A,65.3,3,6.3,7.3,38.3,14,24.7,15.3,14,45.5881,-79.3546
P0H,67,2,5,96,21,41,26,6,25,46.3109,-79.3617
P0N,69,5,8,75,25,50,51,0,0,48.6027,-81.0115
P0S,59,7,7,12,6,80,9,11,5,48.048,-84.6727
P1A,48,3.5,6.5,40.5,39,71.5,35.5,8.5,5.5,46.2801,-79.4502
P1B,63,1,5,76,50,14,4,1,1,46.3364,-79.583
P1P,77,6,9,82,14,44,34,15,4,44.9168,-79.3663
P2B,73,4,9,91,41,89,68,0,0,46.3668,-79.9164
P3A,41,5.5,9,17.5,28,34.5,32,25.5,30.5,46.5187,-80.934
P3C,75,1,5,1,86,1,1,45,45,46.5133,-81.0225
P3P,48,5,4,9,31,61,32,57,54,46.7259,-81.0166
P5N,65,1,5,2,13,25,26,12,14,49.4169,-82.4331
P6B,75,2,5,39,67,49,22,21,22,46.5307,-84.3046
P7G,37,7,7,0,80,10,0,1,10,48.4001,-89.3168
P8N,42,2,7,47,46,56,41,41,57,49.7833,-92.7503
P8T,54,6,9,61,22,50,48,47,3,50.0668,-91.9836
R0A,29.8,3.2,6.8,30.8,28.5,66,47,20.8,54.8,49.2911,-96.2985
R0B,49,3,11,17,17,17,17,15,17,56.2701,-96.9118
R0C,67.5,2,6,41,40,75,39.5,30.5,28,51.4132,-97.8525
R0E,70,3,7,49,47,62,65,4,0,50.4751,-95.961
R0G,59,3,5.5,15,42.5,20.5,24,38.5,27.5,49.4394,-98.0869
R0K,53,7,8,1,72,1,1,1,1,49.555,-99.7154
R0L,61,2,6,67,15,91,49,7,6,52.0092,-100.2901
R0M,39,1.5,7.5,60,0,84.5,50,2.5,0,49.711,-100.9263
R1A,56.7,4,7.3,39.7,9.3,53.7,35,1.7,3.3,50.1436,-96.8845
R1C,62,4,7,0,0,0,0,0,0,50.055,-96.9781
R2C,33,3.3,7,49,10.3,51.3,34,7.7,16,49.9247,-96.9563
R2G,56,2,9.5,36,48,40.5,28.5,7.5,7,49.9413,-97.0571
R2H,38,3,6.5,76.5,11,70,54.5,19,23,49.8846,-97.1186
R2K,50,3.7,5.7,35,30,54.7,17.3,2,6,49.9203,-97.083
R2L,32,4,7,23,7,83,17,1,1,49.9075,-97.0996
R2M,30,2.5,6,28.5,7.5,60,78,7.5,0.5,49.8396,-97.1147
R2N,50.5,3.5,9,84,23,50,77,9.5,28.5,49.7838,-97.0973
R2R,50,4,7,0,46,2,14,12,89,49.9377,-97.2162
R2V,65,4,5,84,0,19,9,0,0,49.9548,-97.1112
R2W,37,2,7,20,83,41,49,40,45,49.9195,-97.1354
R2X,33,4,9,5,16,99,13,5,29,49.9322,-97.1733
R2Y,58,3,7,100,0,0,0,0,0,49.9073,-97.2945
R3C,40.8,1.2,7.5,72.5,15.5,43,32,32.8,25,50.011,-97.2184
R3H,43,3,8,0,20,0,5,10,100,49.9033,-97.2074
R3K,50,3,7,25,40,60,0,0,10,49.8734,-97.307
R3L,49.5,3.5,7.5,75.5,29.5,86.5,52,37.5,40,49.867,-97.1356
R3N,54.7,2,8,26,9,62,16.3,3.7,0,49.8629,-97.1959
R3P,48.5,3,8.5,0.5,98.5,28.5,28,34,3,49.8425,-97.2182
R3R,44,3.7,7,43.7,12.3,61,37.7,23.7,11.7,49.8546,-97.2874
R3S,23,1,4,6,95,50,11,38,20,49.8255,-97.2934
R3T,30.5,4,7.8,41.8,54,46.2,28.8,18.5,32,49.8143,-97.1531
R3W,39,5,9,84,0,84,77,27,2,49.9141,-97.0401
R3X,55,5,9,61,2,80,43,2,6,49.8209,-97.0322
R3Y,31,3,9,14,8,10,6,11,7,49.7885,-97.2147
R5K,66,2,8,28,47,39,45,51,28,49.7392,-96.8723
R5N,62,3,7,48,66,49,47,51,49,NA,NA
R7A,64,3,9,3,85,58,76,13,26,49.8174,-99.9565
R8A,60.3,4,7.3,44,43.3,29,33.3,16.7,20.7,54.7682,-101.865
R8N,50,4,9,43,40,40,41,2,41,55.7435,-97.8558
S0A,61.4,2.4,6.4,27.9,34,26.6,24.9,8.1,23.1,51.4818,-102.9065
S0K,45,3,8,34.1,49,48.7,28.4,21,22.7,52.3003,-107.9907
S0L,39,3,7,10,80,30,10,10,10,51.4827,-108.4898
S0N,20,8,5,0,0,0,0,0,0,49.9116,-108.7236
S3N,67,3.5,5.5,31.5,53.5,31.5,19,14,24,51.2167,-102.4677
S4L,42,7,7,0,85,0,0,50,70,50.4132,-104.2733
S4N,44,4,7,1.5,69,39,26.5,1.5,24.5,50.4671,-104.541
S4P,28,1,4.5,58,73.5,70.5,36.5,65.5,67.5,50.419,-104.6774
S4R,59,4.5,8,23.5,40.5,47,34,18,7,50.4855,-104.6163
S4S,24,1,6,0,0,0,0,0,1,50.4153,-104.6103
S4T,60,2,5,4,56,36,9,6,25,50.4507,-104.665
S4V,62.2,4,9,27.5,42.5,22.5,18.2,8.8,9,50.4251,-104.5389
S4X,46,4.4,7.6,9,53.8,47,24.2,4.2,12,50.506100000000004,-104.6752
S4Y,48,6,5,8,97,23,13,3,3,50.4768,-104.6986
S6H,67,5,10,77,5,69,29,4,0,50.3895,-105.5578
S6J,40,2,6,0,0,0,0,0,0,50.4185,-105.5393
S6V,56,2.5,7,49.5,50,76.5,24,51.5,41.5,54.493,-104.3049
S7H,34,2,9,1,0,1,1,3,1,52.1168,-106.6345
S7J,73,4,5,8,63,12,27,12,9,52.0961,-106.6252
S7K,45.2,2.8,7.2,29.8,29.8,50,24.8,5,11.7,52.0111,-106.7955
S7L,34,4.5,8,22.5,66.5,9,6.5,3.5,42.5,52.1564,-106.6873
S7M,37.8,3.5,6.8,39.2,38.2,54.2,33.5,25.8,49,52.1133,-106.7235
S7N,34.7,4,6.7,1.3,43,43.7,40.7,18.7,42.3,52.1404,-106.608
S7V,54,3,8,6,0,12.5,15.5,2,0,52.0976,-106.5553
