FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
G0L,60,3.4,6,34.6,25.4,40.8,4.6,20,15.8,47.7136,-69.1658
G0M,52,2.5,5.5,32,47.2,36.2,23.8,45,19.2,45.9718,-70.6565
G0R,54,4,6,10,80,0,0,10,0,46.798,-70.3288
G0S,40.5,3.2,8.4,47.1,50.2,37.5,41.6,36.6,20.1,46.4526,-71.4397
G0W,67,4,7,93,26,26,27,1,9,49.834,-72.2623
G0X,47.5,3.5,7,38,38,40,20.5,61,32,47.9168,-74.6159
G1C,56.7,3,6.3,10.3,57.7,8.7,14,36.7,11,46.8801,-71.196
G1E,30,5,9,48,49,45,52,48,48,46.8588,-71.192
G1G,33,4,9,80,42,57,73,84,0,46.8765,-71.2839
G1H,59.5,4,7.5,29.5,0.5,35.5,10,47,0.5,46.8528,-71.2573
G1J,47,3,6,22.5,73,36.5,7.5,45,3,46.838,-71.2232
G1K,55.7,1.3,7,75.3,53.7,79.7,66,90,36.3,46.814,-71.2194
G1L,65,2.5,7.5,42.5,2,36.5,31,62,2,46.8304,-71.2455
G1M,34,2.6,5.4,35.8,34.4,43.6,23.6,28.4,27.2,46.8183,-71.2706
G1R,44.5,4.5,6,5.5,78.5,8.5,1.5,11,34.5,46.8074,-71.2181
G1S,53,2,8,2,38.5,1,12,46,37.5,46.7933,-71.2453
G1V,64,2,7,2,1,20,1,75,0,46.7823,-71.2882
G1X,51.5,5,9.5,38.5,5,56.5,61,95,1,46.7749,-71.3344
G2A,45.5,3,6,50,28,32,34,31,34.5,46.8751,-71.392
G2B,47,3,7,64,48,43,1,33,0,46.8505,-71.3357
G2E,47,4,10,29,44,58,5,40,19,46.8083,-71.3605
G2G,52,5,9,8,33,6,1,80,1,46.7903,-71.4157
G2J,52,2,6,50,1,1,1,1,1,46.8399,-71.2781
G2K,55.3,2.7,8,17,28,22,13.3,47.7,2,46.8545,-71.3044
G2L,58.4,3.6,6.6,61.2,51.6,25.4,15.2,39,9.4,46.8895,-71.2545
G3A,64,3,7,1,19,9,6,75,2,46.7406,-71.4513
G3G,33,7,9,2,58,8,9,9,10,46.9242,-71.3958
G3K,70,4,10,52,22,52,49,86,1,46.8315,-71.4429
G3M,45.5,3,7,52.5,70,41.5,19,62,29.5,46.6804,-71.7239
G4R,48,4,7.5,34.5,55.5,44.5,31.5,62,9.5,50.8558,-67.0511
G4W,66,1,5,63,32,31,52,56,42,48.8286,-67.522
G4Z,46,5,9,0,35,3,1,96,1,51.0872,-68.632
G5C,51,3,5,20,43,29,1,67,19,50.3474,-69.0411
G5H,73,3,7,42,16,60,48,82,17,48.5839,-68.1921
G5J,53,2,7,3,11,17,44,76,6,48.4638,-67.4313
G5L,53.8,2.2,6.6,35.6,14.4,35,18.4,38.8,27,48.416,-68.5979
G5M,41,4,7,26,56,45,18,25,27,48.4966,-68.458
G5R,65,4,6.8,28,18.2,58.5,44.2,85,17.2,47.8304,-69.5342
